trial_id,variable,level,group,n_group,count,reported_percent,computed_percent,abs_percent_delta,flag_percent_delta_0_2,reported_p,decimals
lungtime_c01_s41591_025_04181,Sex,Male,early_tod,105,95,90.5,90.47619047619048,0.0238095238095183,FALSE,1,0
lungtime_c01_s41591_025_04181,Sex,Male,late_tod,105,95,90.5,90.47619047619048,0.0238095238095183,FALSE,1,0
lungtime_c01_s41591_025_04181,Sex,Female,early_tod,105,10,9.5,9.523809523809524,0.0238095238095237,FALSE,1,0
lungtime_c01_s41591_025_04181,Sex,Female,late_tod,105,10,9.5,9.523809523809524,0.0238095238095237,FALSE,1,0
lungtime_c01_s41591_025_04181,Smoking history,Smoker,early_tod,105,84,80,80,0,FALSE,0.59,0
lungtime_c01_s41591_025_04181,Smoking history,Smoker,late_tod,105,87,82.9,82.85714285714286,0.0428571428571444,FALSE,0.59,0
lungtime_c01_s41591_025_04181,Smoking history,Never smoked,early_tod,105,21,20,20,0,FALSE,0.59,0
lungtime_c01_s41591_025_04181,Smoking history,Never smoked,late_tod,105,18,17.1,17.142857142857142,0.0428571428571409,FALSE,0.59,0
lungtime_c01_s41591_025_04181,ECOG PS,0,early_tod,105,38,36.2,36.19047619047619,0.009523809523813,FALSE,0.38,0
lungtime_c01_s41591_025_04181,ECOG PS,0,late_tod,105,32,30.5,30.47619047619047,0.0238095238095255,FALSE,0.38,0
lungtime_c01_s41591_025_04181,ECOG PS,1,early_tod,105,67,63.8,63.80952380952381,0.009523809523813,FALSE,0.38,0
lungtime_c01_s41591_025_04181,ECOG PS,1,late_tod,105,73,69.5,69.52380952380952,0.0238095238095183,FALSE,0.38,0
lungtime_c01_s41591_025_04181,Histology,Squamous,early_tod,105,60,57.1,57.142857142857146,0.0428571428571444,FALSE,0.58,0
lungtime_c01_s41591_025_04181,Histology,Squamous,late_tod,105,56,53.3,53.333333333333336,0.0333333333333385,FALSE,0.58,0
lungtime_c01_s41591_025_04181,Histology,Adenocarcinoma,early_tod,105,45,42.9,42.857142857142854,0.0428571428571444,FALSE,0.58,0
lungtime_c01_s41591_025_04181,Histology,Adenocarcinoma,late_tod,105,49,46.7,46.666666666666664,0.0333333333333385,FALSE,0.58,0
lungtime_c01_s41591_025_04181,Stage,IIIC,early_tod,105,24,22.9,22.857142857142858,0.0428571428571409,FALSE,0.12,0
lungtime_c01_s41591_025_04181,Stage,IIIC,late_tod,105,17,16.2,16.19047619047619,0.0095238095238094,FALSE,0.12,0
lungtime_c01_s41591_025_04181,Stage,IV,early_tod,105,81,77.1,77.14285714285714,0.0428571428571444,FALSE,0.12,0
lungtime_c01_s41591_025_04181,Stage,IV,late_tod,105,88,83.8,83.80952380952381,0.009523809523813,FALSE,0.12,0
lungtime_c01_s41591_025_04181,Brain metastasis,Yes,early_tod,105,13,12.4,12.38095238095238,0.0190476190476189,FALSE,0.55,0
lungtime_c01_s41591_025_04181,Brain metastasis,Yes,late_tod,105,16,14.3,15.238095238095235,0.9380952380952364,TRUE,0.55,0
lungtime_c01_s41591_025_04181,Brain metastasis,No,early_tod,105,92,86.7,87.61904761904762,0.9190476190476176,TRUE,0.55,0
lungtime_c01_s41591_025_04181,Brain metastasis,No,late_tod,105,89,84.8,84.76190476190476,0.0380952380952379,FALSE,0.55,0
lungtime_c01_s41591_025_04181,Liver metastasis,Yes,early_tod,105,6,5.7,5.714285714285714,0.0142857142857142,FALSE,0.3,0
lungtime_c01_s41591_025_04181,Liver metastasis,Yes,late_tod,105,10,9.5,9.523809523809524,0.0238095238095237,FALSE,0.3,0
lungtime_c01_s41591_025_04181,Liver metastasis,No,early_tod,105,99,94.3,94.28571428571428,0.0142857142857053,FALSE,0.3,0
lungtime_c01_s41591_025_04181,Liver metastasis,No,late_tod,105,95,90.5,90.47619047619048,0.0238095238095183,FALSE,0.3,0
lungtime_c01_s41591_025_04181,PD-L1 TPS,<1%,early_tod,105,41,39,39.04761904761905,0.047619047619051,FALSE,0.862,0
lungtime_c01_s41591_025_04181,PD-L1 TPS,<1%,late_tod,105,47,44.8,44.76190476190476,0.0380952380952379,FALSE,0.862,0
lungtime_c01_s41591_025_04181,PD-L1 TPS,1–49%,early_tod,105,31,29.5,29.52380952380953,0.0238095238095255,FALSE,0.862,0
lungtime_c01_s41591_025_04181,PD-L1 TPS,1–49%,late_tod,105,29,27.5,27.61904761904762,0.1190476190476204,FALSE,0.862,0
lungtime_c01_s41591_025_04181,PD-L1 TPS,≥50%,early_tod,105,26,24.8,24.761904761904763,0.0380952380952379,FALSE,0.862,0
lungtime_c01_s41591_025_04181,PD-L1 TPS,≥50%,late_tod,105,22,21,20.952380952380953,0.0476190476190474,FALSE,0.862,0
lungtime_c01_s41591_025_04181,PD-L1 TPS,Unknown,early_tod,105,7,6.7,6.666666666666667,0.0333333333333332,FALSE,0.862,0
lungtime_c01_s41591_025_04181,PD-L1 TPS,Unknown,late_tod,105,7,6.7,6.666666666666667,0.0333333333333332,FALSE,0.862,0
lungtime_c01_s41591_025_04181,ICIs,Sintilimab,early_tod,105,81,77.1,77.14285714285714,0.0428571428571444,FALSE,1,0
lungtime_c01_s41591_025_04181,ICIs,Sintilimab,late_tod,105,81,77.1,77.14285714285714,0.0428571428571444,FALSE,1,0
lungtime_c01_s41591_025_04181,ICIs,Pembrolizumab,early_tod,105,24,22.9,22.857142857142858,0.0428571428571409,FALSE,1,0
lungtime_c01_s41591_025_04181,ICIs,Pembrolizumab,late_tod,105,24,22.9,22.857142857142858,0.0428571428571409,FALSE,1,0
lungtime_c01_s41591_025_04181,Tumor burden,≥80 mm,early_tod,105,56,53.3,53.333333333333336,0.0333333333333385,FALSE,0.097,0
lungtime_c01_s41591_025_04181,Tumor burden,≥80 mm,late_tod,105,43,41,40.95238095238095,0.047619047619051,FALSE,0.097,0
lungtime_c01_s41591_025_04181,Tumor burden,<80 mm,early_tod,105,49,46.7,46.666666666666664,0.0333333333333385,FALSE,0.097,0
lungtime_c01_s41591_025_04181,Tumor burden,<80 mm,late_tod,105,62,59,59.04761904761905,0.047619047619051,FALSE,0.097,0
lungtime_c01_s41591_025_04181,LDH,≤1 ULN,early_tod,105,79,75.2,75.23809523809524,0.0380952380952379,FALSE,0.44,0
lungtime_c01_s41591_025_04181,LDH,≤1 ULN,late_tod,105,73,69.5,69.52380952380952,0.0238095238095183,FALSE,0.44,0
lungtime_c01_s41591_025_04181,LDH,>1 ULN,early_tod,105,26,24.8,24.761904761904763,0.0380952380952379,FALSE,0.44,0
lungtime_c01_s41591_025_04181,LDH,>1 ULN,late_tod,105,32,30.5,30.47619047619047,0.0238095238095255,FALSE,0.44,0
lungtime_c01_s41591_025_04181,LIPI score,Low risk,early_tod,105,63,60,60,0,FALSE,0.673,0
lungtime_c01_s41591_025_04181,LIPI score,Low risk,late_tod,105,58,55.2,55.23809523809524,0.0380952380952379,FALSE,0.673,0
lungtime_c01_s41591_025_04181,LIPI score,Medium risk,early_tod,105,35,33.3,33.333333333333336,0.0333333333333385,FALSE,0.673,0
lungtime_c01_s41591_025_04181,LIPI score,Medium risk,late_tod,105,37,35.3,35.23809523809524,0.0619047619047563,FALSE,0.673,0
lungtime_c01_s41591_025_04181,LIPI score,High risk,early_tod,105,7,6.7,6.666666666666667,0.0333333333333332,FALSE,0.673,0
lungtime_c01_s41591_025_04181,LIPI score,High risk,late_tod,105,10,9.5,9.523809523809524,0.0238095238095237,FALSE,0.673,0
