trial_id,variable,level,group,n_group,count,reported_percent,computed_percent,abs_percent_delta,flag_percent_delta_0_2,reported_p,decimals
pronto_lrm_2026_s2213260025004333,Ethnicity,White,pct,2738,2314,84.5,84.51424397370343,0.0142439737034294,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,White,usual_care,2715,2314,85.2,85.23020257826887,0.0302025782688701,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,White English/Welsh/Scottish/Northern Irish/British,pct,2738,2258,82.5,82.46895544192841,0.031044558071585,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,White English/Welsh/Scottish/Northern Irish/British,usual_care,2715,2252,82.9,82.94659300184162,0.0465930018416145,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,White Irish,pct,2738,10,0.4,0.3652300949598246,0.0347699050401753,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,White Irish,usual_care,2715,15,0.6,0.5524861878453039,0.047513812154696,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,Gypsy or Irish Traveller,pct,2738,0,0,0,0,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,Gypsy or Irish Traveller,usual_care,2715,1,0,0.0368324125230202,0.0368324125230202,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,Any other White background,pct,2738,46,1.7,1.6800584368151936,0.0199415631848063,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,Any other White background,usual_care,2715,46,1.7,1.6942909760589318,0.0057090239410682,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,Mixed,pct,2738,17,0.6,0.620891161431702,0.020891161431702,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,Mixed,usual_care,2715,17,0.6,0.6261510128913443,0.0261510128913443,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,White and Black Caribbean,pct,2738,3,0.1,0.1095690284879474,0.0095690284879473,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,White and Black Caribbean,usual_care,2715,5,0.2,0.1841620626151013,0.0158379373848987,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,White and Black African,pct,2738,4,0.1,0.1460920379839298,0.0460920379839298,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,White and Black African,usual_care,2715,3,0.1,0.1104972375690607,0.0104972375690607,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,White and Asian,pct,2738,3,0.1,0.1095690284879474,0.0095690284879473,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,White and Asian,usual_care,2715,2,0.1,0.0736648250460405,0.0263351749539594,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,Any other mixed/multiple ethnic background,pct,2738,7,0.3,0.2556610664718773,0.0443389335281226,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,Any other mixed/multiple ethnic background,usual_care,2715,7,0.3,0.2578268876611418,0.0421731123388581,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,Asian,pct,2738,64,2.3,2.337472607742878,0.0374726077428779,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,Asian,usual_care,2715,45,1.7,1.6574585635359116,0.0425414364640883,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,Indian,pct,2738,19,0.7,0.6939371804236669,0.006062819576333,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,Indian,usual_care,2715,13,0.5,0.4788213627992633,0.0211786372007366,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,Pakistani,pct,2738,20,0.7,0.7304601899196493,0.0304601899196493,FALSE,NA,0
pronto_lrm_2026_s2213260025004333,Ethnicity,Pakistani,usual_care,2715,14,0.5,0.5156537753222836,0.0156537753222836,FALSE,NA,0
