study_id,source_pdf,page,text_id,url,url_type,context
lungtime,s41591-025-04181-w.pdf,1,1,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,Nature Medicine nature medicine https://doi.org/10.1038/s41591-025-04181-w Article Time-of-day immunochemotherapy in non-small cell lung cancer: a randomized phase 3 trial Retrospective studies suggest that early time-of-day (T o
lungtime,s41591-025-04181-w.pdf,2,2,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,"Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w Hospital between 23 September 2022 and 21 May 2024 (Fig. 1). Reasons for screening failure included active brain metastases (n = 7), concur- rent hormonal the"
lungtime,s41591-025-04181-w.pdf,3,3,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,"Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w metastases, PD-L1 TPS, ICI agent, LIPI score and T oD. Among these, only T oD and PD-L1 TPS were substantial predictors of both PFS and OS (Extended Data Fig"
lungtime,s41591-025-04181-w.pdf,4,4,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w 0 6 18 3633302724211512930 10 20 30 40 50 60 70 80 90 100 Mo nth s Patients without disease progression or death (%) Ea rly To D g r o u p: m PFS 1 1. 3 m o n
lungtime,s41591-025-04181-w.pdf,5,5,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w 0 3 6 9 12 15 18 21 24 27 30 33 36 0 10 20 30 40 50 60 70 80 90 100 Mo n th s P atients who s u r viv ed (%) P < 0.001 Number a t r is k Ea r ly To D gro u p
lungtime,s41591-025-04181-w.pdf,6,6,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w multiple retrospective studies18- 21. Given that a substantial proportion of patients in the early T oD group remain on active treatment in the current trial
lungtime,s41591-025-04181-w.pdf,7,7,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,"Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w randomized phase 3 studies evaluated the role of adjuvant single-agent ICI in patients with resectable early-stage NSCLC, namely IMpower 010, KEYNOTE-091 and"
lungtime,s41591-025-04181-w.pdf,7,7,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,"ledgements, peer review information, details of author contri- butions and competing interests; and statements of data and code avail- ability are available at https://doi.org/10.1038/s41591-025-04181-w. References 1. Benjamin, D. J. et al. The role of chemotherapy plus immune checkpoint inhibitors in oncogenic-driven NSCLC: a University of California lung ca"
lungtime,s41591-025-04181-w.pdf,8,8,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,"Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w 15. Nomura, M. et al. Timing of the infusion of nivolumab for patients with recurrent or metastatic squamous cell carcinoma of the esophagus influences its e"
lungtime,s41591-025-04181-w.pdf,9,9,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,"Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w Methods Study design This prospective, randomized, single-center, open-label phase 3 trial (LungTIME-C01) was designed to compare survival outcomes between p"
